WID,Experiment,strat_SP,strat_SWP,strat_G,strat_WProp,strat_LLH,rules_Rule,rules_Guess,rules_LLH
S129,sh,0.9999999484709754,4.707883252274439e-08,4.4501921627253194e-09,4.7078832732254246e-08,127.5728243631068,R4,0.3333333317101128,144.682587376216
S130,sh,0.3009445293357301,0.6990553852130748,8.545119511711172e-08,0.6990554449481979,120.29436260352549,R2,0.2471523158205862,117.3846019694288
S131,sh,0.1292186839506944,0.8707812908145403,2.523476525619312e-08,0.8707813127885023,91.49219900673832,R2,0.0538816721552226,91.47434556145484
S132,sh,0.9999998969791434,9.17176719996775e-15,1.030208473906504e-07,9.171768144851076e-15,142.69847629346268,R3,0.1055466723847324,139.2883560535828
S133,sh,0.9999998675269997,1.0133963786086953e-07,3.1133362494137284e-08,1.0133964101591329e-07,132.8738512557195,R3,0.3333333331576599,149.9459092172997
S134,sh,0.999999887130362,1.0067869841535016e-14,1.1286962792358969e-07,1.0067870977891868e-14,140.6841402479014,R4,0.3333333313979402,141.55038776040857
S135,sh,0.6121094103148075,0.387890398969762,1.9071543053302684e-07,0.3878904729464605,126.09169194175728,R3,1.9037754775560164e-36,124.60236063292936
S136,sh,0.510991877239255,0.4890080198996366,1.0286110835166009e-07,0.4890080701995487,122.23054916746666,R4,0.1608182768920835,124.62058286322184
S137,sh,1.1278931355537985e-07,0.9999998872106864,9.334937776952304e-18,0.9999998872106864,81.31057380090051,R1,0.0106103656779951,76.34937668390603
S138,sh,7.077718039630977e-09,0.9220165523571952,0.0779834405650867,0.999999992323654,95.59550406458284,R2,0.0986928043336488,97.44517816806844
S139,sh,0.6987629604411346,0.0725520836354382,0.2286849559234272,0.094062840071139,148.62025296447604,R4,0.3333333309676777,149.47580126385077
S140,sh,0.9999999647950796,3.520492040199084e-08,1.2332129914612617e-17,3.520492040199084e-08,136.6301723776712,R3,1.9037754775560164e-36,127.96415615714982
S141,sh,2.3292330074041067e-07,0.827101634115231,0.1728981329614683,0.9999997183861988,106.99938408582028,R1,0.1141937140644395,92.99697550379648
S142,sh,0.6254079034754599,0.3745920164980652,8.002647491652892e-08,0.3745920464753461,129.97884578311368,R3,1.9037754775560164e-36,127.02830908167203
S143,sh,0.469736412656646,0.5302634220437176,1.6529963635179092e-07,0.5302635096960829,125.4057626795972,R3a,0.3333333328315295,127.14628970995858
S144,sh,0.5273666863922997,0.4726330555720212,2.580356790598261e-07,0.4726331775282441,122.4079602210854,R2,0.3333333311084586,129.38388304314148
S145,sh,0.9999999774094483,7.879859822742439e-15,2.2590543646605523e-08,7.879860000752761e-15,136.8795677030897,R3,0.1657661223143332,144.12986403870164
S146,sh,1.6576084457269532e-07,0.8579060584110794,0.1420937758280761,0.9999998067844248,100.47372547094967,R2,0.1251186024989754,98.04264112139543
S147,sh,0.6666666327478797,3.387676143411756e-08,0.3333333333333333,5.081514215437965e-08,154.6318629183446,R4,0.3333333318773095,159.07920207941763
S148,sh,0.2406644431311377,0.426002223508084,0.3333333333333333,0.639003335288432,147.41501505221743,R4,0.3333333318791929,148.99221826336463
S149,sh,2.369674756517791e-07,0.8100882197769891,0.1899115432555352,0.9999997074795058,105.49834836705924,R2,0.1888034548526355,107.677458398157
S150,sh,2.1456857156471528e-14,0.9999999164606777,8.35393009730216e-08,0.9999999999999786,87.3313508523466,R1,6.459857498988747e-17,70.95009591421307
S151,sh,0.2609171227747331,0.7390826748828278,2.0234243906714057e-07,0.7390828244306491,110.39786701986176,R2,0.1896147061962121,110.65359283385968
S152,sh,0.9999999177795807,8.140997475915043e-08,8.104444237441984e-10,8.14099748251287e-08,131.24951506214978,R3,0.3333333312879668,154.7657431786495
S153,sh,0.6494498861861434,0.3505500410967046,7.271715191423574e-08,0.3505500665877071,138.7868548982842,R1,0.302576880137062,122.651774373954
S154,mat,0.254090666661158,0.7459092493280672,8.401077474018176e-08,0.7459093119924864,65.23304524154649,R2,0.1480301774965387,75.81156670147023
S155,mat,0.9184941444348018,0.081505855132504,4.326942041360708e-10,0.0815058551677711,96.3742288297746,R4,0.1851533540689349,97.02894517391336
S156,mat,0.0694853481884545,0.8222357526859313,0.1082788991256141,0.9220772637091128,75.08940586455398,R2,0.1692469660834306,77.88079127543666
S157,mat,0.4902285240629469,0.2203186208058351,0.2894528551312179,0.3100689692399253,137.74056337430628,R3,0.3333333299589027,148.59810015788943
S158,mat,0.4727630509344521,0.5272368834828652,6.558268274071891e-08,0.5272369180604767,90.40406404513476,R4,0.1415369642041874,87.70282154505283
S159,mat,0.6834376515557646,0.3165622638208579,8.462337736674374e-08,0.3165622906094281,85.81655463019965,R4,0.1137009859709901,82.72062871621705
S160,mat,0.0569832050327912,0.943016734737366,6.02298426187231e-08,0.943016791535119,35.16435726014889,R2,1.9037754775560164e-36,30.250572292547137
S161,mat,0.3347207257146974,0.6652792742853026,1.1734874533683481e-18,0.6652792742853026,82.76049134149717,R4,0.1255766449885884,86.91462278829769
S162,mat,0.2656126823918945,0.5363728282106859,0.1980144893974196,0.6688061331777384,109.64266016500191,R3,0.0523708759985793,100.25896567678336
S163,mat,0.7813517038102848,0.2186482857564924,1.0433222773316392e-08,0.2186482880376987,100.3789468842214,R4,0.2390699693067091,104.94337323963852
S164,mat,0.0763920808570873,0.5902745857875621,0.3333333333333333,0.8854118787105846,118.25314210059688,R2,0.3333333320371631,118.32181049246826
S165,mat,0.6875538689147307,0.3124461206613312,1.0423938074533638e-08,0.3124461239182503,88.43333884258075,R4,0.1485564621764798,91.0743516203936
S166,mat,0.7209989648985348,0.2790010304320348,4.669430447530624e-09,0.2790010317348106,106.48675977276898,R4,0.3016015693324337,115.5690987789584
S167,mat,0.1559178734495292,0.8440820973671848,2.9183286067878245e-08,0.8440821220002748,55.41018024698739,R2,0.0806390941039456,57.355206375424736
S168,mat,0.5448358647680994,0.4551641250218151,1.0210085439095869e-08,0.4551641296690797,100.27001423262108,R2,0.3333333318356229,111.61177217920434
S169,mat,0.7816505705540425,0.2183493370804115,9.236554603794957e-08,0.2183493572483691,111.85726022946524,R3,0.0502101826918361,104.0875087113419
S170,mat,0.8637599359068155,0.1362398935512526,1.7054193172417061e-07,0.1362399167858712,97.48887708585984,R4,0.112398024907703,88.15816704061014
S171,mat,0.2592989909469709,0.7407008390748359,1.699781931797321e-07,0.7407009649778475,63.68827710835574,R4,0.024956632062555,69.50378897792255
S172,mat,0.3360954348437369,0.6639045646614223,4.948408704547187e-10,0.6639045649899494,64.90554562093688,R4,0.0343319955176781,70.71625229581014
S173,mat,0.7128548572847058,0.2871450108095215,1.3190577269600505e-07,0.287145048685611,102.47222225749574,R4,0.285947107829842,111.9455556142028
S174,mat,0.2526105566522745,0.7473894432645262,8.319930752791428e-11,0.7473894433267084,53.71953526635637,R4,1.9037754775560164e-36,59.00766800103412
S175,mat,0.7380130046215524,0.2619869080663571,8.731209053555584e-08,0.2619869309409838,90.44977390178929,R4,0.1886386863324167,96.2702917697096
S176,mat,0.9999998313464268,1.6861636408695937e-07,3.720894870269803e-11,1.6861636409323342e-07,114.53700304087856,R3,0.2252648834263067,123.01535619173563
S177,mat,0.2810726367965404,0.7189273197030306,4.35004289204688e-08,0.7189273509766788,70.45321134507576,R2,0.1597495202570515,78.02398041712509
S178,mat,0.0773144211874477,0.922685578575286,2.372661886385216e-10,0.922685578794208,40.62022769275924,R2,0.0251115118874324,40.46333860363912
