WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
S048,W_pure_centered_1.0_1_mixed_N,W_pure_centered_1.0_1,B,B,W,pure,centered,1.0,mixed,1.0,N,L,35,10618
S048,CW_mixed_centered_0.25_0_mixed_R,CW_mixed_centered_0.25_0,B,B,CW,mixed,centered,0.25,mixed,0.25,R,L,36,4190
S048,D_mixed_uncentered_1.0_0_blocks_N,D_mixed_uncentered_1.0_0,B,B,D,mixed,uncentered,1.0,blocks,1.0,N,L,37,10116
S048,CD_pure_centered_0.25_1_blocks_R,CD_pure_centered_0.25_1,L,R,CD,pure,centered,0.25,blocks,0.25,R,L,38,3164
S048,CB_mixed_uncentered_1.0_0_blocks_N,CB_mixed_uncentered_1.0_0,L,L,CB,mixed,uncentered,1.0,blocks,1.0,N,B,39,12168
S048,D_mixed_centered_1.0_0_mixed_R,D_mixed_centered_1.0_0,R,L,D,mixed,centered,1.0,mixed,1.0,R,L,40,3980
S048,W_mixed_centered_0.25_1_mixed_N,W_mixed_centered_0.25_1,B,B,W,mixed,centered,0.25,mixed,0.25,N,L,41,3874
S048,W_pure_uncentered_1.0_1_mixed_N,W_pure_uncentered_1.0_1,B,B,W,pure,uncentered,1.0,mixed,1.0,N,L,42,3766
S048,CW_pure_centered_1.0_1_mixed_N,CW_pure_centered_1.0_1,L,L,CW,pure,centered,1.0,mixed,1.0,N,L,43,3985
S048,CB_mixed_centered_1.0_1_blocks_R,CB_mixed_centered_1.0_1,R,L,CB,mixed,centered,1.0,blocks,1.0,R,B,44,2610
S048,B_pure_uncentered_1.0_1_blocks_R,B_pure_uncentered_1.0_1,L,R,B,pure,uncentered,1.0,blocks,1.0,R,B,45,5745
S048,CB_pure_centered_1.0_1_blocks_R,CB_pure_centered_1.0_1,B,B,CB,pure,centered,1.0,blocks,1.0,R,B,46,5598
S048,CW_mixed_uncentered_0.25_0_mixed_R,CW_mixed_uncentered_0.25_0,R,L,CW,mixed,uncentered,0.25,mixed,0.25,R,L,47,6750
S048,B_mixed_uncentered_1.0_0_blocks_N,B_mixed_uncentered_1.0_0,B,B,B,mixed,uncentered,1.0,blocks,1.0,N,B,48,8604
S048,W_pure_uncentered_0.25_1_mixed_N,W_pure_uncentered_0.25_1,B,B,W,pure,uncentered,0.25,mixed,0.25,N,L,49,2645
S048,D_pure_uncentered_1.0_0_blocks_N,D_pure_uncentered_1.0_0,B,B,D,pure,uncentered,1.0,blocks,1.0,N,L,50,8412
S048,B_pure_centered_0.25_1_mixed_N,B_pure_centered_0.25_1,B,B,B,pure,centered,0.25,mixed,0.25,N,B,51,3343
S048,CD_pure_centered_0.25_0_mixed_R,CD_pure_centered_0.25_0,R,L,CD,pure,centered,0.25,mixed,0.25,R,L,52,4720
S048,W_pure_uncentered_0.25_1_blocks_R,W_pure_uncentered_0.25_1,R,L,W,pure,uncentered,0.25,blocks,0.25,R,L,53,2829
