WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH,HalfOrder
S147,CB_2_BC_N,Y,0,0,1,0.347999999937,0.244000000459,0.407999999604,-0.896488105549,second
S147,CW_7_CC_N,Y,1,0,0,0.443999999436,0.248000000438,0.308000000126,-0.811930717821,second
S147,Dist_3_BB_N,Y,0,1,0,0.363999999841,0.483999999218,0.152000000941,-0.725670373882,second
S147,CW_5_CB_N,Y,0,0,1,0.547999998895,0.244000000459,0.208000000646,-1.57021719617,second
S147,Weight_1_CB_N,Y,1,0,0,0.300000000178,0.599999998612,0.10000000121,-1.20397280373,second
S147,Bal_3_BB_N,Y,0,1,0,0.00400000170971,0.983999996622,0.0120000016682,-0.0161293853627,second
S147,Dist_3_BC_N,Y,1,0,0,0.395999999674,0.375999999777,0.228000000549,-0.926341068551,second
S147,CB_6_BB_N,Y,1,0,0,0.38399999975,0.280000000271,0.335999999979,-0.957112727046,second
S147,CD_5_BC_N,Y,1,0,0,0.587999998672,0.232000000523,0.180000000805,-0.531028333342,second
S147,CB_6_BC_N,Y,0,0,1,0.324000000062,0.260000000375,0.415999999563,-0.877070019771,second
S147,CD_2_CC_N,Y,1,0,0,0.471999999276,0.184000000772,0.343999999952,-0.750776294931,second
S147,CD_5_BB_N,Y,0,0,1,0.635999998415,0.244000000459,0.120000001126,-2.12026352682,second
S147,CW_5_BC_N,Y,0,0,1,0.447999999414,0.236000000501,0.316000000085,-1.15201306513,second
S147,Dist_4_CC_N,Y,0,1,0,0.491999999177,0.260000000378,0.248000000446,-1.34707364651,second
S147,Bal_5_CC_N,Y,0,1,0,0.288000000236,0.46399999932,0.248000000443,-0.76787072822,second
S147,Weight_4_CC_N,Y,0,0,1,0.443999999427,0.447999999403,0.10800000117,-2.22562404102,second
S147,CW_3_BB_N,Y,0,1,0,0.435999999479,0.316000000083,0.248000000438,-1.15201306513,second
S147,CD_5_CB_N,Y,0,0,1,0.591999998653,0.240000000481,0.168000000867,-1.78379129442,second
S147,CW_1_CB_N,Y,0,1,0,0.519999999041,0.28400000025,0.196000000709,-1.25878103994,second
S147,CB_5_CB_N,Y,0,0,1,0.312000000124,0.363999999834,0.324000000042,-1.12701176306,second
S147,CD_7_CC_N,Y,0,0,1,0.391999999692,0.24000000048,0.367999999828,-0.999672341281,second
S147,CB_7_BB_N,Y,0,0,1,0.339999999979,0.343999999937,0.316000000083,-1.15201306513,second
S147,CB_4_CC_N,Y,0,0,1,0.37599999979,0.256000000396,0.367999999814,-0.999672341319,second
S147,CW_3_CC_N,Y,0,0,1,0.423999999532,0.268000000338,0.30800000013,-1.17765549559,second
S147,CD_3_CC_N,Y,0,1,0,0.599999998612,0.180000000793,0.220000000595,-1.71479842368,second
S147,Weight_1_BB_N,Y,0,0,1,0.403999999646,0.332,0.264000000354,-1.33180617449,second
S147,CW_2_BC_N,Y,0,0,1,0.423999999541,0.280000000271,0.296000000188,-1.21739582402,second
S147,Weight_3_CC_N,Y,0,1,0,0.292000000218,0.40399999963,0.304000000152,-0.906340401936,second
S147,Weight_1_CC_N,Y,0,0,1,0.328000000032,0.451999999381,0.220000000587,-1.51412772996,second
S147,CW_5_CC_N,Y,0,0,1,0.487999999207,0.248000000438,0.264000000355,-1.33180617449,second
S147,CD_4_CC_N,Y,0,1,0,0.511999999067,0.264000000355,0.224000000577,-1.33180617449,second
S147,CD_7_BB_N,Y,1,0,0,0.391999999687,0.324000000042,0.284000000271,-0.936493439989,second
S147,CD_3_CB_N,Y,0,0,1,0.651999998341,0.220000000585,0.128000001074,-2.05572500667,second
S147,CW_2_CC_N,Y,0,0,1,0.495999999164,0.188000000751,0.316000000085,-1.15201306513,second
S147,Weight_5_BB_N,Y,0,0,1,0.419999999562,0.292000000209,0.288000000229,-1.24479479805,second
S147,Dist_5_BB_N,Y,0,1,0,0.312000000111,0.515999999052,0.172000000838,-0.661648515338,second
S147,Weight_2_CC_N,Y,0,0,1,0.363999999845,0.435999999464,0.200000000691,-1.60943790898,second
S147,Dist_5_BC_N,Y,0,0,1,0.363999999841,0.343999999942,0.292000000217,-1.23100147597,second
S147,Bal_4_BC_N,Y,0,1,0,0.140000001003,0.611999998552,0.248000000445,-0.491022998836,second
S147,Weight_4_CB_N,Y,0,1,0,0.443999999428,0.51199999907,0.0440000015019,-0.669430655758,second
S147,Dist_5_CC_N,Y,0,0,1,0.407999999613,0.312000000108,0.280000000279,-1.27296567482,second
S147,CB_5_BB_N,Y,0,0,1,0.28800000025,0.316000000083,0.395999999666,-0.92634106857,second
S147,CB_3_BC_N,Y,1,0,0,0.343999999957,0.252000000417,0.403999999626,-1.06711362174,second
S147,Dist_4_BC_N,Y,1,0,0,0.431999999488,0.284000000253,0.284000000259,-0.839329691923,second
S147,Weight_4_BC_N,Y,0,1,0,0.467999999302,0.443999999424,0.0880000012739,-0.811930717848,second
S147,Weight_1_BC_N,Y,1,0,0,0.252000000426,0.595999998634,0.15200000094,-1.37832618978,second
S147,Bal_5_BC_N,Y,0,1,0,0.176000000816,0.591999998656,0.232000000527,-0.524248646368,second
S147,CB_1_CC_N,Y,0,0,1,0.415999999581,0.220000000584,0.363999999835,-1.0106014118,second
S147,CB_1_BC_N,Y,0,0,1,0.343999999957,0.224000000563,0.43199999948,-0.839329691942,second
S147,Dist_1_BC_N,Y,0,1,0,0.4679999993,0.395999999673,0.136000001027,-0.926341068554,second
S147,CW_1_BB_N,Y,0,0,1,0.47599999927,0.260000000375,0.264000000354,-1.33180617449,second
S147,CW_6_BC_N,Y,0,0,1,0.399999999666,0.328000000021,0.272000000313,-1.30195321154,second
S147,Bal_3_CB_N,Y,0,1,0,0.208000000651,0.647999998365,0.144000000983,-0.433864585152,second
S147,Dist_2_CB_N,Y,1,0,0,0.875999997182,0.0960000012318,0.0280000015859,-0.132389191262,second
S147,CW_1_BC_N,Y,0,0,1,0.439999999458,0.316000000083,0.244000000459,-1.41058705181,second
S153,CD_6_CB_N,Y,0,0,1,0.374301818804,0.171689407438,0.454008773757,-0.789638755671,first
S153,CW_6_CB_N,Y,0,1,0,0.614929763107,0.192919655873,0.192150581019,-1.64548146756,first
S153,CW_6_BB_N,Y,0,1,0,0.617083713051,0.210457804657,0.172458482292,-1.55847009889,first
S153,Dist_2_CC_N,Y,0,1,0,0.81492164627,0.101999337921,0.0830790158095,-2.28278895669,first
