WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH,HalfOrder
S156,CB_Pure_9,Y,1,0,0,0.854451301783,0.0727743366776,0.0727743615392,-0.157295768357,first
S156,CD_Pure_14,Y,0,0,1,0.072774388661,0.0696096640463,0.857615947293,-0.153598893581,first
S156,CD_Pure_6,Y,0,0,1,0.0949272191279,0.0727743355475,0.832298445325,-0.183564194159,first
S156,CB_Mixed_11,Y,1,0,0,0.860780667387,0.0696096482253,0.0696096843877,-0.149915548717,first
S156,CD_Pure_10,Y,0,0,1,0.0727744067422,0.0696096663065,0.857615926951,-0.1535989173,first
S156,CD_Pure_11,Y,0,0,1,0.0822684664487,0.0727743513686,0.844957182183,-0.168469324882,first
S156,CD_Pure_12,Y,0,0,1,0.0696096855178,0.0696096730869,0.860780641395,-0.149915578913,first
S156,CD_Mixed_7,Y,0,0,1,0.0791037621754,0.0696096617862,0.851286576038,-0.161006454995,first
S156,CW_Mixed_9,Y,1,0,0,0.860780675298,0.0696096674366,0.0696096572659,-0.149915539527,first
S156,CW_Pure_2,Y,1,0,0,0.860780790565,0.0696096154531,0.0696095939817,-0.149915405617,first
S156,CD_Mixed_8,Y,0,0,1,0.0727743988317,0.0696096685666,0.857615932602,-0.153598910711,first
S156,Weight_Mixed_0,Y,1,0,0,0.860780703549,0.0696096414448,0.0696096550057,-0.149915506706,first
S156,CW_Pure_7,Y,1,0,0,0.860780756663,0.0696096301441,0.069609613193,-0.149915445002,first
S156,Bal_Mixed_1,Y,0,1,0,0.104421112713,0.813310567748,0.082268319539,-0.206642240229,first
S156,CW_Pure_5,Y,1,0,0,0.86078071937,0.0696096572659,0.0696096233636,-0.149915488326,first
S156,CW_Pure_4,Y,1,0,0,0.860780726151,0.0696096504854,0.0696096233636,-0.149915480449,first
S156,CW_Mixed_1,Y,0,0,1,0.860780744232,0.0696096470952,0.0696096086727,-2.66485266553,first
S156,CW_Mixed_3,Y,0,1,0,0.86078071711,0.0696096459651,0.0696096369245,-2.66485212979,first
S156,CW_Mixed_2,Y,1,0,0,0.860780802996,0.0696096064125,0.0696095905915,-0.149915391176,first
S156,CD_Mixed_6,Y,0,0,1,0.0696097996553,0.0696096154531,0.860780584892,-0.149915644555,first
S156,CW_Mixed_4,Y,0,0,1,0.857616029788,0.0696096572659,0.072774312946,-2.62039223019,first
S156,CW_Mixed_7,Y,1,0,0,0.860780778134,0.0696096256238,0.0696095962418,-0.149915420058,first
S156,CW_Pure_13,Y,1,0,0,0.932657408434,0.0336712963884,0.0336712951778,-0.0697173390998,second
S156,CW_Pure_12,Y,1,0,0,0.932657409644,0.0336712964893,0.0336712938663,-0.0697173378018,second
S156,CW_Mixed_10,Y,1,0,0,0.932657412772,0.0336712939672,0.033671293261,-0.0697173344485,second
S156,Weight_Mixed_3,Y,1,0,0,0.932657397841,0.0336713018363,0.033671300323,-0.0697173504576,second
S156,Dist_Mixed_0,Y,0,0,1,0.515527853697,0.396861685829,0.087610460474,-2.43485487636,second
S156,Weight_Mixed_1,Y,1,0,0,0.932657398446,0.0336713007265,0.0336713008274,-0.0697173498086,second
S156,CD_Pure_5,Y,0,0,1,0.0336713057708,0.0336713016345,0.932657392595,-0.0697173560825,second
S156,Dist_Mixed_5,Y,0,1,0,0.386073852386,0.48676029785,0.127165849764,-0.71998347861,second
