Trial,NetTorque,NetWeight,CenterOfMass
Bal_Asymmetric_7,38.9839854154,24.0,1.00474189215
Bal_Asymmetric_6,11.3617491188,8.0,0.33416909173
Bal_Asymmetric_5,104.683787337,27.8,2.08533440911
Bal_Asymmetric_4,30.2079555585,9.4,0.396429862972
Bal_Asymmetric_3,2.50342098271,1.4,0.0985598812091
Bal_Asymmetric_2,26.3832420357,9.4,1.09021661305
Bal_Asymmetric_1,35.7638723042,21.2,0.580582342601
Bal_Asymmetric_0,42.0173115337,16.0,0.861010482248
Dist_Same_3,11.1762339446,0.0,0.821781907694
Weight_MixExtend_4,16.7274953962,6.2,0.400179315699
Weight_MixExtend_5,15.0207689839,1.0,0.333794866309
Dist_MixContra_7,-4.51507204026,-16.0,-0.188128001678
Weight_MixExtend_6,4.94521161425,2.4,0.106577836514
Dist_MixContra_4,-3.78866530041,-2.8,-0.215265073887
Weight_MixExtend_7,31.9307757705,17.0,0.465463203651
Dist_Same_0,8.43763220096,0.0,0.145476417258
CB_Same_0,0.0,2.4,0.0
CD_MixBal_0,-0.837875010792,-23.2,-0.013010481534
CB_Same_2,0.0,1.0,0.0
CB_Same_3,0.0,27.0,0.0
CB_Same_4,0.0,9.0,0.0
CB_Same_5,-8.881784197e-16,2.0,-7.40148683083e-17
CB_Same_6,0.0,9.0,0.0
CB_Same_7,0.0,9.0,0.0
Dist_MixBal_4,-0.305692960165,-8.0,-0.0119411312565
Weight_MixExtend_2,31.3654693859,9.0,0.736278624082
Dist_MixBal_5,-0.487841093829,-6.6,-0.0121353505928
CB_Dist_2,-21.3464203193,-7.0,-0.478619289671
CB_Dist_3,-27.3807035507,-2.2,-0.687957375647
CB_Dist_0,-3.46177631946,-0.4,-0.412116228507
CB_Dist_1,-63.9215578559,-4.0,-1.21987705832
CB_Dist_6,-31.1874458159,-5.6,-0.856797961976
CB_Dist_7,-4.88875051063,-4.2,-0.246906591446
CB_Dist_4,-56.6529544611,-15.0,-1.31751056886
CB_Dist_5,-36.0639117677,-3.2,-0.658100579702
Dist_MixBal_7,0.0694626467733,-9.4,0.0039921061364
CD_MixContra_2,-5.96907676409,-10.0,-0.233167061097
CD_MixContra_3,-0.408405402999,-10.4,-0.01458590725
