WID,Strategy,CVOrder,CVLLH
S154,base_strats,24,-26.446074285022323
S154,base_strats,25,-35.69096924156884
S154,base_strats,26,-33.87910580907798
S154,base_strats,27,-44.23903798565881
S154,base_strats,28,-36.09693044552994
S154,base_strats,29,-33.492900498652965
S154,base_strats,3,-30.723213230082955
S154,base_strats,30,-35.32846488917848
S154,base_strats,31,-35.985449601312524
S154,base_strats,32,-31.27224892703009
S154,base_strats,33,-31.40917707419188
S154,base_strats,34,-33.32185190262864
S154,base_strats,35,-35.57143763638622
S154,base_strats,36,-31.438458911422977
S154,base_strats,37,-30.099269927768034
S154,base_strats,38,-32.1801179415317
S154,base_strats,39,-26.96114493590264
S154,base_strats,4,-28.3050860408534
S154,base_strats,40,-31.87690974475296
S154,base_strats,41,-33.874144684868725
S154,base_strats,42,-33.129149103810256
S154,base_strats,43,-41.17024105989732
S154,base_strats,44,-39.04028976984004
S154,base_strats,45,-26.83610951571292
S154,base_strats,46,-31.268326672785303
S154,base_strats,47,-43.63335841929711
S154,base_strats,48,-40.25812378489751
S154,base_strats,49,-31.605574124870937
S154,base_strats,5,-32.92646762357944
S154,base_strats,6,-39.8366750950132
S154,base_strats,7,-37.30705237805678
S154,base_strats,8,-33.708429580645394
S154,base_strats,9,-30.40458858462695
S155,base_strats,0,-41.79045647695106
S155,base_strats,1,-49.22393165860443
S155,base_strats,10,-46.30836614640136
S155,base_strats,11,-54.22294007645042
S155,base_strats,12,-52.34694164479486
S155,base_strats,13,-48.19488457991311
S155,base_strats,14,-47.6883772142075
S155,base_strats,15,-47.61637204912953
S155,base_strats,16,-49.92625346140087
S155,base_strats,17,-48.53456405354268
S155,base_strats,18,-50.26104467172904
S155,base_strats,19,-45.54551461315125
S155,base_strats,2,-45.632974047192576
S155,base_strats,20,-51.68065078938156
S155,base_strats,21,-47.97534254823213
S155,base_strats,22,-48.40989241272867
S155,base_strats,23,-48.70929229497433
S155,base_strats,24,-49.066028250153884
S155,base_strats,25,-55.07641780574338
S155,base_strats,26,-46.24586217549485
S155,base_strats,27,-42.28723930737345
S155,base_strats,28,-52.16485802050365
S155,base_strats,29,-48.647314521734216
S155,base_strats,3,-48.562854253651246
S155,base_strats,30,-52.43864256303825
S155,base_strats,31,-44.19477983179407
S155,base_strats,32,-47.60104597821898
S155,base_strats,33,-47.48806107421619
S155,base_strats,34,-55.49646551103321
S155,base_strats,35,-53.44238554253135
S155,base_strats,36,-50.55869894275834
S155,base_strats,37,-47.275156072966666
S155,base_strats,38,-44.85990686509447
S155,base_strats,39,-47.70037234753831
S155,base_strats,4,-46.3593230874031
S155,base_strats,40,-45.31284093073767
S155,base_strats,41,-50.53325632988688
S155,base_strats,42,-53.00901989686152
S155,base_strats,43,-51.77020758356827
S155,base_strats,44,-51.603704706999046
S155,base_strats,45,-49.42604178527472
S155,base_strats,46,-47.2567630307681
S155,base_strats,47,-45.221942381057545
S155,base_strats,48,-46.28927281754243
S155,base_strats,49,-46.051630829250186
S155,base_strats,5,-46.11767728218367
S155,base_strats,6,-53.558129092636726
S155,base_strats,7,-51.64732355284145
S155,base_strats,8,-51.73520056833732
S155,base_strats,9,-48.56926854729458
S181,base_strats,0,-55.78557902196757
S181,base_strats,1,-57.37195815072212
S181,base_strats,10,-55.5129258935533
S181,base_strats,11,-56.732061262853314
S181,base_strats,12,-68.36162575555535
S181,base_strats,13,-60.82274361811073
S181,base_strats,14,-62.02865717336537
S181,base_strats,15,-58.77599837822296
S181,base_strats,16,-57.18941801468929
S181,base_strats,17,-63.4303572240698
S181,base_strats,18,-57.18676752305783
S181,base_strats,19,-74.31781939251933
S181,base_strats,2,-68.92437900890684
S181,base_strats,20,-58.40073581443445
S181,base_strats,21,-73.27594506085215
S181,base_strats,22,-56.8640687549324
S181,base_strats,23,-55.38901316081177
S181,base_strats,24,-59.51491019562829
S181,base_strats,25,-53.984446630538535
S181,base_strats,26,-62.82588664306704
S181,base_strats,27,-51.22422892519273
S181,base_strats,28,-62.16334072872191
S181,base_strats,29,-52.68033552880489
S181,base_strats,3,-53.81167698922586
S181,base_strats,30,-73.27243191437844
S181,base_strats,31,-56.47624435075028
S181,base_strats,32,-66.18966498130781
S181,base_strats,33,-53.78060933758562
S181,base_strats,34,-58.86095279921708
S181,base_strats,35,-61.24463188944864
S181,base_strats,36,-66.7372485449361
S181,base_strats,37,-54.40389716475996
S181,base_strats,38,-62.77337370861636
S181,base_strats,39,-57.16560488915109
S181,base_strats,4,-58.70065225696236
S181,base_strats,40,-51.47715322628866
S181,base_strats,41,-61.35773097575524
S181,base_strats,42,-55.23356855233449
S181,base_strats,43,-62.65308791551794
S181,base_strats,44,-67.2474666753741
S181,base_strats,45,-57.58250286310629
S181,base_strats,46,-55.5549964932577
S181,base_strats,47,-60.9848897052637
S181,base_strats,48,-52.89729905752155
S181,base_strats,49,-61.05074003777275
S181,base_strats,5,-55.6391117776634
S181,base_strats,6,-68.81830047607328
S181,base_strats,7,-54.95315831049928
S181,base_strats,8,-63.52671117878163
S181,base_strats,9,-65.17087090008438
S156,base_strats,0,-38.713136017222055
S156,base_strats,1,-36.53674413730548
S156,base_strats,10,-35.87320078976131
S156,base_strats,11,-44.494014723127705
S156,base_strats,12,-44.10990304680474
S156,base_strats,13,-39.11300970913441
S156,base_strats,14,-40.16916068089676
S156,base_strats,15,-40.897162337966776
S156,base_strats,16,-47.1294558978263
S156,base_strats,17,-46.26326259504953
S156,base_strats,18,-49.66181102186693
S156,base_strats,19,-35.19955008021664
S156,base_strats,2,-44.9410602087528
S156,base_strats,20,-40.31954579440998
S156,base_strats,21,-31.47404458644364
S156,base_strats,22,-37.1112802656199
S156,base_strats,23,-39.560899834847326
S156,base_strats,24,-34.06356894607947
S156,base_strats,25,-35.999054289643944
S156,base_strats,26,-40.127648103006415
S156,base_strats,27,-41.535989846282106
S156,base_strats,28,-41.40456845073515
S156,base_strats,29,-39.02276516270215
S156,base_strats,3,-50.85705866008765
S156,base_strats,30,-34.905570536096924
S156,base_strats,31,-43.79241858469709
S156,base_strats,32,-40.3759972503307
S156,base_strats,33,-33.25444752501475
S156,base_strats,34,-37.1350170331545
S156,base_strats,35,-40.819235323144966
S156,base_strats,36,-40.14030898603938
S156,base_strats,37,-38.77175330749143
S156,base_strats,38,-37.18534278764759
S156,base_strats,39,-37.62015167721587
S156,base_strats,4,-52.41708163813664
S156,base_strats,40,-51.87548835013424
S156,base_strats,41,-36.31575619995485
S156,base_strats,42,-41.45460345026365
S156,base_strats,43,-35.944267149972866
S156,base_strats,44,-37.79699869121509
S156,base_strats,45,-38.87246196070375
S156,base_strats,46,-35.0851850080167
S156,base_strats,47,-35.13034946324089
S156,base_strats,48,-37.96628514004768
S156,base_strats,49,-50.07572767333058
S156,base_strats,5,-43.28728263016731
S156,base_strats,6,-44.12618379608344
S156,base_strats,7,-34.51156196475414
S156,base_strats,8,-32.213031419482995
S156,base_strats,9,-33.97195537656789
S182,base_strats,0,-35.35553906678641
S182,base_strats,1,-38.760301694746765
S182,base_strats,10,-29.41056465617112
S182,base_strats,11,-40.31442155680331
S182,base_strats,12,-36.622640578756425
S182,base_strats,13,-36.73198366759754
S182,base_strats,14,-36.75083559792633
S182,base_strats,15,-38.932078972680415
S182,base_strats,16,-32.67605238730633
S182,base_strats,17,-41.44283736491975
S182,base_strats,18,-36.699500998044535
S182,base_strats,19,-40.60095974936246
S182,base_strats,2,-42.347129577408
S182,base_strats,20,-35.30971414831514
S182,base_strats,21,-37.10997994157184
S182,base_strats,22,-34.54600246204102
S182,base_strats,23,-35.145501114917856
S182,base_strats,24,-37.05533557406434
S182,base_strats,25,-29.19605895833349
S182,base_strats,26,-38.17126972032533
S182,base_strats,27,-36.61557120083884
S182,base_strats,28,-35.286250763009164
S182,base_strats,29,-32.186380195940906
S182,base_strats,3,-34.275991989290155
S182,base_strats,30,-39.532531955517385
S182,base_strats,31,-33.31092163005867
S182,base_strats,32,-35.67587721561665
S182,base_strats,33,-32.5231420940547
S182,base_strats,34,-36.13899828624962
S182,base_strats,35,-39.06495373225025
S182,base_strats,36,-45.93990980766683
S182,base_strats,37,-32.49152675099196
S182,base_strats,38,-37.549998093580406
S182,base_strats,39,-38.5916380377988
S182,base_strats,4,-31.601253835263734
S182,base_strats,40,-37.445521045009706
S182,base_strats,41,-42.297448683408966
S182,base_strats,42,-35.90149557569288
S182,base_strats,43,-39.95176040671717
S182,base_strats,44,-35.81248288906287
S182,base_strats,45,-37.60327308110356
S182,base_strats,46,-42.493533559936935
S182,base_strats,47,-33.83103773904446
S182,base_strats,48,-38.40006416744813
S182,base_strats,49,-36.41334233229093
S182,base_strats,5,-36.003582696193064
S182,base_strats,6,-35.95312945644065
S182,base_strats,7,-38.1570627309697
S182,base_strats,8,-44.00775833233148
S182,base_strats,9,-42.93155774214447
S183,base_strats,0,-45.22518028240139
S183,base_strats,1,-56.22348671971648
S183,base_strats,10,-46.57789097568073
