WID,Trial,WasFit,EmpLeft,EmpBal,EmpRight,ModLeft,ModBal,ModRight,LLH
S129,CD_4_BC_N,Y,1,0,0,0.3977029818742194,0.2934241512379835,0.3088728668877962,-0.922049828998714
S129,CW_2_CB_N,Y,0,1,0,0.314022438771067,0.314022438771067,0.3719551224578646,-1.1582908345727494
S129,CW_7_CB_N,Y,0,1,0,0.3423450841290571,0.3230341895667911,0.3346207263041508,-1.129997111309217
S129,CW_7_BC_N,Y,0,0,1,0.3719551224578648,0.314022438771067,0.314022438771067,-1.1582908345727494
S129,CD_1_BC_N,Y,1,0,0,0.6139850009716011,0.196869678426653,0.1891453206017465,-0.4877847795183869
S129,CB_7_BC_N,Y,0,0,1,0.3333333333333329,0.3333333333333329,0.3333333333333329,-1.098612288668111
S129,CD_3_CB_N,Y,1,0,0,0.6680555057459465,0.165972247127027,0.165972247127027,-0.4033840164634247
S129,CD_5_CC_N,Y,1,0,0,0.6268589306797782,0.1904327135725642,0.1827083557476578,-0.4670337546048179
S129,CB_2_CB_N,Y,0,0,1,0.3320459403625152,0.3320459403625152,0.3359081192749684,-1.0909176109532273
S129,Weight_2_CC_N,Y,0,1,0,0.5019818125104574,0.4286004131738461,0.0694177743156964,-0.8472302319350846
S129,CD_4_CC_N,Y,1,0,0,0.4427617358528403,0.2612393269675405,0.2959989371796189,-0.8147234959447084
S129,CB_4_BB_N,Y,0,0,1,0.3745299083995001,0.3127350458002493,0.3127350458002493,-1.1623989459653514
S129,Dist_4_CC_N,Y,1,0,0,0.8328418060106172,0.0835790969946916,0.0835790969946916,-0.1829115636010042
S129,CB_2_BB_N,Y,0,0,1,0.3333333333333329,0.3333333333333329,0.3333333333333329,-1.098612288668111
S129,CB_1_BB_N,Y,0,0,1,0.3539316208664164,0.3230341895667911,0.3230341895667911,-1.129997111309217
S129,Bal_2_BB_N,Y,0,1,0,0.0114850906288981,0.9770298187422036,0.0114850906288981,-0.0232381066863674
