WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,D_pure_centered_1.0_1_blocks_R,D_pure_centered_1.0_1,R,L,D,pure,centered,1,blocks,1,R,L,0,2158
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,D_mixed_centered_0.25_1_blocks_R,D_mixed_centered_0.25_1,R,L,D,mixed,centered,0.25,blocks,0.25,R,L,1,1946
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,B_pure_uncentered_1.0_1_mixed_N,B_pure_uncentered_1.0_1,R,R,B,pure,uncentered,1,mixed,1,N,B,2,2912
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,CD_mixed_uncentered_0.25_0_blocks_N,CD_mixed_uncentered_0.25_0,B,B,CD,mixed,uncentered,0.25,blocks,0.25,N,L,3,4378
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,W_mixed_centered_1.0_0_blocks_N,W_mixed_centered_1.0_0,L,L,W,mixed,centered,1,blocks,1,N,L,4,2843
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,B_pure_uncentered_1.0_0_blocks_N,B_pure_uncentered_1.0_0,R,R,B,pure,uncentered,1,blocks,1,N,B,5,2101
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,CB_mixed_centered_1.0_1_mixed_N,CB_mixed_centered_1.0_1,L,L,CB,mixed,centered,1,mixed,1,N,B,6,2538
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,W_pure_centered_0.25_0_mixed_R,W_pure_centered_0.25_0,B,B,W,pure,centered,0.25,mixed,0.25,R,L,7,5060
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,CW_mixed_uncentered_1.0_1_blocks_R,CW_mixed_uncentered_1.0_1,R,L,CW,mixed,uncentered,1,blocks,1,R,L,8,2346
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,CD_mixed_uncentered_0.25_1_mixed_N,CD_mixed_uncentered_0.25_1,B,B,CD,mixed,uncentered,0.25,mixed,0.25,N,L,9,3421
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,CB_mixed_centered_0.25_0_blocks_N,CB_mixed_centered_0.25_0,R,R,CB,mixed,centered,0.25,blocks,0.25,N,B,10,3352
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,B_mixed_uncentered_0.25_1_blocks_R,B_mixed_uncentered_0.25_1,R,L,B,mixed,uncentered,0.25,blocks,0.25,R,B,11,4646
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,CW_mixed_uncentered_1.0_0_mixed_R,CW_mixed_uncentered_1.0_0,B,B,CW,mixed,uncentered,1,mixed,1,R,L,12,4043
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,B_mixed_uncentered_1.0_1_blocks_R,B_mixed_uncentered_1.0_1,B,B,B,mixed,uncentered,1,blocks,1,R,B,13,2782
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,W_mixed_uncentered_1.0_1_blocks_R,W_mixed_uncentered_1.0_1,L,R,W,mixed,uncentered,1,blocks,1,R,L,14,4436
A10DEO061A6L3O:36TFCYNS45UD21G5BJNBC65ICRXXHN,W_mixed_centered_0.25_0_mixed_R,W_mixed_centered_0.25_0,L,R,W,mixed,centered,0.25,mixed,0.25,R,L,15,50
