Strategy,FitType,CVOrder,FitLLH,CVLLH,AddStratParam
add1_smd,all,42,-5551.66651275316,-5689.732720825484,0.1174369027812794
add1_smd,all,43,-5615.157606132948,-5628.122747203941,0.2164094476182458
add1_smd,all,44,-5515.764768973257,-5725.425654481658,0.107355643208345
add1_smd,all,45,-5617.375339800059,-5618.649188449056,0.172093482197079
add1_smd,all,46,-5611.1835004604345,-5636.187286291096,0.3055818054588577
add1_smd,all,47,-5599.323675600263,-5641.379567160968,0.1506410802497751
add1_smd,all,48,-5696.799475549279,-5537.565861170839,0.1470988869065188
add1_smd,all,49,-5542.818857894328,-5689.096683332724,0.0432028541515709
add1_smpd,all,0,-5685.432693426131,-5565.589902511804,0.1552873892064674
add1_smpd,all,1,-5672.132592233301,-5574.277321827832,0.2552802548755706
add1_smpd,all,2,-5883.921038808555,-5369.385531827204,0.1385843899889899
add1_smpd,all,3,-5780.524087976023,-5447.003283512919,0.1471842321623589
add1_smpd,all,4,-5350.895765392893,-5904.858615663305,0.1517434369592746
add1_smpd,all,5,-5523.588419496936,-5715.679380910923,0.1381279359523124
add1_smpd,all,6,-5541.175722129837,-5703.562788134876,0.1335158267531478
add1_smpd,all,7,-5632.567874096362,-5635.827212432207,0.1290025041482331
add1_smpd,all,8,-5668.273953853279,-5585.531652199775,0.1348499707508923
add1_smpd,all,9,-5573.42083846802,-5664.333532948922,0.1455775745051908
add1_smpd,all,10,-5557.250319379664,-5678.798158360745,0.2664623115790828
add1_smpd,all,11,-5745.364898400144,-5509.15932551153,0.1361644553146011
add1_smpd,all,12,-5492.34801240375,-5749.014718277976,0.1376550442789371
add1_smpd,all,13,-5693.547070928979,-5542.249425342501,0.1395469800130708
add1_smpd,all,14,-5590.087242083966,-5654.088681041494,0.1641026528198264
add1_smpd,all,15,-5692.030132507671,-5558.498103725974,0.1238899595988069
add1_smpd,all,16,-5630.936870193658,-5624.505638124091,0.1272552311768773
add1_smpd,all,17,-5724.5710461137205,-5523.445840977796,0.2693835910858526
add1_smpd,all,18,-5795.143996581586,-5434.0258911557,0.1540805368325858
add1_smpd,all,19,-5695.236706862679,-5556.987316722103,0.1358138226247842
add1_smpd,all,20,-5598.403861831384,-5636.309880944409,0.1307312383390479
add1_smpd,all,21,-5580.586422121197,-5669.312640596164,0.1274869180566618
add1_smpd,all,22,-5717.206325974281,-5503.081473275621,0.1344196992281963
add1_smpd,all,23,-5609.794207220601,-5626.943514483883,0.2644567549956263
add1_smpd,all,24,-5448.004748561362,-5791.77591992415,0.1399600514825816
add1_smpd,all,25,-5543.72759630384,-5686.477147944104,0.1301438713919746
add1_smpd,all,26,-5717.619581173988,-5515.642106601717,0.2721232223583112
add1_smpd,all,27,-5654.354704196468,-5588.471002879466,0.1384419580350104
add1_smpd,all,28,-5521.71968941175,-5710.532684442869,0.1299881645560633
add1_smpd,all,29,-5637.928808631183,-5607.0586904338,0.140343985257898
add1_smpd,all,30,-5557.331476306619,-5679.079959736486,0.1372824941744509
add1_smpd,all,31,-5794.52067233376,-5459.451258355748,0.1405304493165376
add1_smpd,all,32,-5640.64521643186,-5614.365051528237,0.1386138006574408
add1_smpd,all,33,-5504.397054898892,-5740.504968757082,0.1447043063880638
add1_smpd,all,34,-5584.175509747142,-5662.81670200785,0.1372065809827815
add1_smpd,all,35,-5714.787952084966,-5504.365344285154,0.1470341082586646
add1_smpd,all,36,-5750.649959081463,-5495.629558619445,0.2612272059876704
add1_smpd,all,37,-5582.735603680185,-5677.813118775574,0.13966246845807
add1_smpd,all,38,-5628.335928369844,-5622.279210238742,0.143656458227413
add1_smpd,all,39,-5622.646606923017,-5610.44585902932,0.1426657422853691
add1_smpd,all,40,-5728.500697525153,-5509.205905912342,0.2665792191750903
add1_smpd,all,41,-5554.9076225800045,-5687.859708879157,0.1431143466459105
add1_smpd,all,42,-5544.636915073697,-5691.802864488477,0.1346928237601099
add1_smpd,all,43,-5619.1338872901615,-5614.761971244306,0.1320733756889125
add1_smpd,all,44,-5520.425686695961,-5719.74982815918,0.1352353582142831
add1_smpd,all,45,-5630.702129130871,-5621.350159893168,0.1330612845191734
add1_smpd,all,46,-5609.9316929330425,-5640.76440182188,0.1427289007009162
add1_smpd,all,47,-5602.485735900945,-5642.898086363945,0.1426514497299796
add1_smpd,all,48,-5712.777193367649,-5546.420858157658,0.1404654409550212
add1_smpd,all,49,-5549.55045223701,-5684.939360443523,0.1372128055636532
add1_sm,all,0,-5679.912370069997,-5574.058666236247,0.0365119991625478
add1_sm,all,1,-5673.011798083866,-5576.117945054793,0.0029412214307159
add1_sm,all,2,-5862.316324397061,-5366.474386863035,2.9015770649826505e-05
add1_sm,all,3,-5789.576130083352,-5457.292855598346,2.2135676227168497e-05
add1_sm,all,4,-5342.616441215198,-5894.38897624971,0.0146220599843726
add1_sm,all,5,-5531.635153438937,-5720.956037316693,0.0707715647421883
add1_sm,all,6,-5536.323488658285,-5716.828433197111,7.844791471150609e-05
add1_sm,all,7,-5621.333562471754,-5625.522679645487,0.0542976637965396
add1_sm,all,8,-5665.219752500289,-5585.915916894653,0.0001614315490198
add1_sm,all,9,-5572.926671878218,-5659.394724120174,3.124881600598022e-07
add1_sm,all,10,-5564.546237281069,-5683.015838293087,0.0077775936242656
add1_sm,all,11,-5744.274400866017,-5518.296282953088,5.132679589490147e-06
add1_sm,all,12,-5489.370062693907,-5757.2472570828295,0.0385672409996699
add1_sm,all,13,-5704.62616903117,-5534.0657774774445,7.283439122494666e-08
add1_sm,all,14,-5591.127664650952,-5649.210851064071,0.013611279904233
add1_sm,all,15,-5697.488953151359,-5557.7379362334,5.69295761966171e-05
add1_sm,all,16,-5631.027299626535,-5614.524489530124,5.093701509499322e-09
add1_sm,all,17,-5722.626913649263,-5529.778608162873,0.0979397490024118
add1_sm,all,18,-5806.837136805454,-5439.431708224561,8.465329208276028e-06
add1_sm,all,19,-5699.070146231233,-5555.497265580447,4.336322780622615e-06
add1_sm,all,20,-5607.575556673927,-5641.593003705051,0.0177454905162489
add1_sm,all,21,-5579.742816998082,-5672.331433418884,1.1889317788892093e-07
add1_sm,all,22,-5724.7134033416605,-5507.113307486659,0.0135493487522272
add1_sm,all,23,-5609.612026495937,-5631.42971292942,0.0168062715534076
add1_sm,all,24,-5454.466592533157,-5793.521927315792,4.077024150733493e-06
add1_sm,all,25,-5553.293650402154,-5698.436646801604,8.514143696351501e-06
add1_sm,all,26,-5727.535672521218,-5523.449678054265,1.1795944292431156e-05
add1_sm,all,27,-5657.05731599396,-5591.77520196152,2.85622127290237e-05
add1_sm,all,28,-5521.296826651256,-5711.611024822666,0.0336842291091107
add1_sm,all,29,-5629.281198106571,-5603.227563627615,0.013126743909717
add1_sm,all,30,-5549.976087944866,-5671.294819134352,0.0130884353499597
add1_sm,all,31,-5791.224903383872,-5461.803214182081,2.5518856359885617e-06
add1_sm,all,32,-5633.9751911259245,-5609.308527449699,4.038177066934443e-07
add1_sm,all,33,-5509.0855355865415,-5742.3617961556665,3.0553561126891427e-06
add1_sm,all,34,-5585.065956901274,-5666.397830860268,0.0192911009852691
add1_sm,all,35,-5719.00671649907,-5518.184844548732,0.0506481778476157
add1_sm,all,36,-5745.172179892173,-5484.791742543205,0.0002051919707062
add1_sm,all,37,-5575.755655541007,-5667.741024286585,0.0304274669759161
add1_sm,all,38,-5626.711116280044,-5617.932454733856,4.289476207161611e-05
add1_sm,all,39,-5627.065930873568,-5622.258494112974,5.7578573248493404e-06
add1_sm,all,40,-5729.599517031755,-5511.672895698482,4.6941316386218325e-07
add1_sm,all,41,-5564.67692054535,-5685.317581677982,4.414522660166152e-10
add1_sm,all,42,-5530.927025957694,-5702.041449036602,0.0144529038870248
add1_sm,all,43,-5620.443140803745,-5609.956947531015,8.397370393622024e-06
add1_sm,all,44,-5522.470624900172,-5724.151766267398,1.1136864787340543e-06
add1_sm,all,45,-5627.275119762631,-5616.518348306,0.0216261790533611
add1_sm,all,46,-5626.517515665516,-5627.986660227842,0.0007971509210363
add1_sm,all,47,-5601.6448458562745,-5635.487229260437,0.0514406668381825
add1_sm,all,48,-5695.185552915076,-5546.154439199216,4.169596413642891e-06
add1_sm,all,49,-5549.707345399814,-5692.230807619637,0.0111100197928271
add1_sdmp,all,0,-5672.144334703928,-5550.860551437458,0.0345400952916914
add1_sdmp,all,1,-5673.5775006017775,-5574.286058075741,0.0291271993037959
add1_sdmp,all,2,-5866.861818153051,-5355.303364160997,0.0512574049076553
add1_sdmp,all,3,-5794.096307162048,-5443.869464885594,0.0239001999404285
add1_sdmp,all,4,-5345.143183884572,-5891.553151829361,0.0246349482463738
add1_sdmp,all,5,-5506.161127081988,-5713.1633587989945,0.0677819444871731
add1_sdmp,all,6,-5525.445590919215,-5709.275580670416,0.0583846679476164
add1_sdmp,all,7,-5636.604347702313,-5625.839235363148,0.0249586596453393
add1_sdmp,all,8,-5642.80739725296,-5590.582397999031,0.060970453489842
add1_sdmp,all,9,-5574.88080656094,-5647.301863783389,0.0313267979487813
add1_sdmp,all,10,-5560.42074031517,-5671.357490730776,0.0288177271031647
add1_sdmp,all,11,-5735.373593542327,-5511.378237423655,0.0613378552056643
add1_sdmp,all,12,-5488.649048698685,-5743.461887666457,0.0321887691258507
add1_sdmp,all,13,-5680.473151511298,-5535.974823677539,0.0453482096745831
add1_sdmp,all,14,-5586.832066639254,-5641.950129319276,0.0370428452521677
add1_sdmp,all,15,-5695.447430333941,-5538.237205109107,0.0253861084745395
add1_sdmp,all,16,-5630.070837572914,-5608.501289654392,0.0329705871847814
add1_sdmp,all,17,-5727.097783962281,-5507.885041480858,0.0216704631510462
add1_sdmp,all,18,-5812.201539579564,-5425.325202093816,0.0181122253738081
add1_sdmp,all,19,-5702.012224567377,-5533.3671251991445,0.0301234322620212
add1_sdmp,all,20,-5606.150964931003,-5639.3510644638645,0.0215950094454712
add1_sdmp,all,21,-5582.34515414477,-5657.720570155775,0.0257907377415506
add1_sdmp,all,22,-5727.503561081077,-5499.766978121751,0.0294578196446236
add1_sdmp,all,23,-5612.182899024793,-5626.706050872793,0.0306794441191408
add1_sdmp,all,24,-5447.955032912703,-5792.40854389759,0.0388445518950686
add1_sdmp,all,25,-5551.537127207938,-5698.148659669888,0.0352304027531211
add1_sdmp,all,26,-5727.747886159777,-5513.709292015776,0.0228387019328128
add1_sdmp,all,27,-5656.430756174697,-5574.852416112367,0.0251261019796502
add1_sdmp,all,28,-5509.302929013639,-5708.401559036515,0.0204699151554957
add1_sdmp,all,29,-5629.03242848775,-5607.056917591244,0.0272818858493944
add1_sdmp,all,30,-5571.643648688388,-5671.725020707528,0.0206031176419556
add1_sdmp,all,31,-5789.06228419393,-5438.75725886648,0.0323630084158584
add1_sdmp,all,32,-5614.386557112422,-5599.919577082913,0.057532492442232
add1_sdmp,all,33,-5478.229599670704,-5737.566624220998,0.0703717705450733
add1_sdmp,all,34,-5579.471367291866,-5659.810305232978,0.0472786493635061
add1_sdmp,all,35,-5719.834731092155,-5511.773813020849,0.020893626858137
add1_sdmp,all,36,-5747.288008196509,-5489.633884962403,0.0394416208484005
add1_sdmp,all,37,-5572.900145509129,-5649.484180019497,0.0248519567565984
add1_sdmp,all,38,-5624.061856293614,-5620.06025782526,0.0356499522438398
add1_sdmp,all,39,-5626.711308763237,-5599.501483635074,0.0208272761765926
add1_sdmp,all,40,-5729.513750046481,-5507.591712222628,0.025605841308368
add1_sdmp,all,41,-5555.283133752518,-5666.631311998661,0.0229098698718231
add1_sdmp,all,42,-5542.820269064203,-5683.026399554884,0.0275063945171162
add1_sdmp,all,43,-5609.460926935133,-5607.059109910666,0.0290754736553034
add1_sdmp,all,44,-5504.692649637917,-5728.843369497631,0.036162560437761
add1_sdmp,all,45,-5628.552849442743,-5619.984499523174,0.0345261801846438
add1_sdmp,all,46,-5612.171961747944,-5620.074204459178,0.0378450226970966
add1_sdmp,all,47,-5603.225621996027,-5640.436052942554,0.018733863609593
add1_sdmp,all,48,-5704.603782224778,-5542.613918087906,0.0165258635227776
add1_sdmp,all,49,-5558.606107310465,-5687.487733902682,0.0380236551653212
add1_sdm,all,0,-5676.862068465798,-5568.390418654673,0.0264321683191782
add1_sdm,all,1,-5665.338896626079,-5560.708685699137,0.025942395104787
add1_sdm,all,2,-5878.02169501109,-5345.769049228025,0.0330883939661504
add1_sdm,all,3,-5784.61859530279,-5457.469316070555,0.0263256722434218
add1_sdm,all,4,-5341.512863987119,-5892.522612778275,0.021783776772421
add1_sdm,all,5,-5505.692451045337,-5721.432587835991,0.0666984877216896
add1_sdm,all,6,-5523.221497018283,-5700.671984084727,0.0571622398937618
add1_sdm,all,7,-5630.798163712511,-5622.666583725324,0.0265849408454998
add1_sdm,all,8,-5647.555623714109,-5578.734837915775,0.056774400833766
add1_sdm,all,9,-5576.090796148067,-5654.098226860778,0.0360176592387795
add1_sdm,all,10,-5560.098811416828,-5690.933666057492,0.0319982572790398
add1_sdm,all,11,-5746.20696757238,-5518.249477651159,0.0408288094921553
add1_sdm,all,12,-5488.79411193242,-5751.7661967669255,0.0316659384675146
add1_sdm,all,13,-5699.017948894673,-5532.752493581346,0.033321419207907
add1_sdm,all,14,-5591.34091449289,-5640.822944116353,0.030807987272033
add1_sdm,all,15,-5693.633862794075,-5545.665703519671,0.0298307603395004
add1_sdm,all,16,-5632.197565561269,-5627.896801230655,0.0378975922303437
add1_sdm,all,17,-5719.862332008695,-5513.810374357321,0.0185333634630745
add1_sdm,all,18,-5814.292821005569,-5429.484324873029,0.018158261280606
add1_sdm,all,19,-5699.688530708319,-5534.74467660183,0.0298103019733164
add1_sdm,all,20,-5614.807638872498,-5633.585368297623,0.0226505742833591
add1_sdm,all,21,-5575.090711139666,-5658.170450729936,0.0262674657555352
add1_sdm,all,22,-5723.0410214204585,-5510.818895058109,0.030291592279862
add1_sdm,all,23,-5616.508894693511,-5624.685409212852,0.0256441347414651
add1_sdm,all,24,-5434.508384114716,-5796.14962364077,0.0589688859549479
add1_sdm,all,25,-5545.99550986758,-5681.459126414466,0.0335666837804727
add1_sdm,all,26,-5720.015880317629,-5513.447479471751,0.0262932972508107
add1_sdm,all,27,-5651.41232346096,-5584.71985289395,0.0228195405463106
add1_sdm,all,28,-5520.4403217181625,-5699.933994757861,0.0280874360520196
add1_sdm,all,29,-5625.321871068687,-5602.115553788164,0.0287159013570028
add1_sdm,all,30,-5570.857714321309,-5659.613822061105,0.0212819894007335
add1_sdm,all,31,-5792.502134183472,-5439.250452092939,0.030721151963248
add1_sdm,all,32,-5615.302712870899,-5600.191315686455,0.0590477456851381
add1_sdm,all,33,-5485.531478193014,-5743.885175240235,0.0714410194778322
add1_sdm,all,34,-5577.265961200703,-5650.8212766922325,0.0347740501865936
add1_sdm,all,35,-5727.05163428434,-5506.890288227174,0.0180854529357544
add1_sdm,all,36,-5752.536877120169,-5493.250948385468,0.0359814831063081
add1_sdm,all,37,-5572.36860824745,-5659.0251413249325,0.0239681276526318
add1_sdm,all,38,-5611.474108892916,-5613.31060828419,0.0511510075072957
add1_sdm,all,39,-5628.633587745502,-5611.55555476116,0.0192975387825983
add1_sdm,all,40,-5728.666744461651,-5497.423638330976,0.0240250333439367
add1_sdm,all,41,-5568.313239000682,-5690.368663615744,0.0235026853813576
add1_sdm,all,42,-5549.213239890353,-5691.849906420829,0.0241705206486661
add1_sdm,all,43,-5619.919693209907,-5609.768503346933,0.0299364280366054
add1_sdm,all,44,-5519.07142242002,-5732.87860269566,0.034265778680796
add1_sdm,all,45,-5619.400326346184,-5616.828458297141,0.0306805418369021
add1_sdm,all,46,-5606.571044043024,-5631.26507003909,0.0544259418121527
add1_sdm,all,47,-5604.410141043749,-5637.223312849443,0.0155793232258731
add1_sdm,all,48,-5706.3358125418845,-5541.770820298563,0.0200673263767585
add1_sdm,all,49,-5555.665807873523,-5701.845716797243,0.0384820541502577
add1_sdpm,all,0,-5683.713271365373,-5561.7360253397865,0.022389674158268
add1_sdpm,all,1,-5668.432676553929,-5563.372442263678,0.0224067613955091
add1_sdpm,all,2,-5879.030366812259,-5356.137310938281,0.030331961409058
add1_sdpm,all,3,-5791.09840642453,-5450.146111558183,0.0181954240390781
add1_sdpm,all,4,-5345.149283577803,-5893.137543763606,0.0161115010105471
add1_sdpm,all,5,-5513.8814285837125,-5731.809094480632,0.0599913481412953
add1_sdpm,all,6,-5525.83706558367,-5711.864259188302,0.0275366278246298
add1_sdpm,all,7,-5627.63378801582,-5636.100881690442,0.0171108931738174
add1_sdpm,all,8,-5654.473662134529,-5586.598393056322,0.0290187131284994
add1_sdpm,all,9,-5577.236297023642,-5661.462786211831,0.0271301636964749
add1_sdpm,all,10,-5561.851380514959,-5680.702572205977,0.0276887803087316
add1_sdpm,all,11,-5735.289109637523,-5517.5058328938885,0.0284004310837827
add1_sdpm,all,12,-5489.665770199624,-5743.063636884498,0.0276371641963983
add1_sdpm,all,13,-5695.218660406166,-5534.327474016026,0.0222603564469706
add1_sdpm,all,14,-5595.613524552552,-5641.968411086986,0.0288235046157644
add1_sdpm,all,15,-5693.914899559569,-5546.982625128113,0.0160726674091229
add1_sdpm,all,16,-5631.577680023228,-5619.598834517924,0.0259003198593014
add1_sdpm,all,17,-5730.702998702212,-5515.27759796535,0.0165959808828278
add1_sdpm,all,18,-5813.763112493347,-5436.994427971998,0.0078487606152453
add1_sdpm,all,19,-5699.908581420328,-5550.332986010731,0.0304828440325457
add1_sdpm,all,20,-5593.601189379288,-5632.319933642582,0.0160799745326968
add1_sdpm,all,21,-5583.968296711949,-5652.256758317083,0.0183724979277489
add1_sdpm,all,22,-5722.847815326688,-5501.600632200912,0.0262657698456675
add1_sdpm,all,23,-5614.319560563766,-5627.374646448579,0.0242549760385877
add1_sdpm,all,24,-5448.724191802969,-5789.416987580382,0.0371857879784312
add1_sdpm,all,25,-5543.794432420008,-5687.541912643526,0.0258240486722689
add1_sdpm,all,26,-5723.203544445851,-5516.845147138892,0.0158863615391287
add1_sdpm,all,27,-5658.939296842336,-5583.457820108441,0.0188357836556453
add1_sdpm,all,28,-5523.237494506414,-5711.73561856819,0.0230463094663368
add1_sdpm,all,29,-5625.68436263517,-5615.075133296983,0.019686679450911
add1_sdpm,all,30,-5567.065531540111,-5675.85641376079,0.0124179498719324
add1_sdpm,all,31,-5791.315730286941,-5438.751993909774,0.0255365806089062
add1_sdpm,all,32,-5618.783719714495,-5611.432290711428,0.0575978299239884
add1_sdpm,all,33,-5488.934436131138,-5754.558727496803,0.0718345696810646
add1_sdpm,all,34,-5576.957608957826,-5649.138396490938,0.0271784581665734
add1_sdpm,all,35,-5719.094431713004,-5517.463215441634,0.0133660585846975
add1_sdpm,all,36,-5751.364384609198,-5493.408281768381,0.0297201749751279
add1_sdpm,all,37,-5581.148197242124,-5659.338530614265,0.0190907149779348
add1_sdpm,all,38,-5623.623195464999,-5624.439607937342,0.0258108160055982
add1_sdpm,all,39,-5631.251964619747,-5626.472206794902,0.0145458597216755
add1_sdpm,all,40,-5734.300446091942,-5509.227637376778,0.0175004434491351
add1_sdpm,all,41,-5561.4022527334255,-5684.60304265924,0.0142703442548711
add1_sdpm,all,42,-5546.636363061693,-5685.956047753592,0.0140805467412374
add1_sdpm,all,43,-5620.20499371331,-5625.162392587744,0.0240652619440659
add1_sdpm,all,44,-5525.050750642202,-5727.793277078927,0.028533861258607
add1_sdpm,all,45,-5614.44249156203,-5624.383468830141,0.0286943558095078
add1_sdpm,all,46,-5625.353188629338,-5620.795149297652,0.0314520869879729
add1_sdpm,all,47,-5598.658476419178,-5644.887446218779,0.0118010882812568
add1_sdpm,all,48,-5698.34191482879,-5544.13870852949,0.0130742559110054
add1_sdpm,all,49,-5548.125459877073,-5689.080741120022,0.0308629569278918
add1_sdp,all,0,-5675.675336598587,-5559.955728152224,0.0222907347672757
add1_sdp,all,1,-5682.275450352592,-5571.634516687,0.0214784242966239
add1_sdp,all,2,-5879.3467619656585,-5369.148139689635,0.0290799348653182
add1_sdp,all,3,-5795.607578274241,-5446.977812230245,0.016484909679097
add1_sdp,all,4,-5349.738105010617,-5893.86755292206,0.013499853681165
add1_sdp,all,5,-5519.812571713934,-5711.6741282482,0.0372060212083043
add1_sdp,all,6,-5530.131399757545,-5706.378789291375,0.0279910673711969
add1_sdp,all,7,-5635.5576446012665,-5630.66818888679,0.0152617528632704
add1_sdp,all,8,-5652.31817247289,-5587.047756538603,0.0329197034978765
add1_sdp,all,9,-5579.6725666339,-5652.911198650052,0.0266866685650978
add1_sdp,all,10,-5564.362472916793,-5683.127387067045,0.0238764039441904
add1_sdp,all,11,-5736.767710992965,-5509.390389596474,0.0278954100379076
add1_sdp,all,12,-5485.665128256702,-5736.946005150023,0.0240583900447206
add1_sdp,all,13,-5688.43247904369,-5531.989659337182,0.0234620128362358
