Strategy,FitType,CVOrder,FitLLH,CVLLH
base_strats,all,19,-5697.921605152401,-5561.656790049588
base_strats,all,20,-5603.997420312692,-5647.935794385284
base_strats,all,21,-5573.446280556579,-5662.365716022905
base_strats,all,22,-5726.138790089577,-5517.139446702043
base_strats,all,23,-5614.035488659839,-5624.012752655988
base_strats,all,24,-5451.154021180725,-5793.855225859847
base_strats,all,25,-5547.3063543473645,-5687.015286525954
base_strats,all,26,-5725.643314587247,-5534.582916036015
base_strats,all,27,-5662.133342866451,-5591.192741379491
base_strats,all,28,-5508.950738630078,-5714.354944703932
base_strats,all,29,-5638.769475413371,-5620.1012926703925
base_strats,all,30,-5558.663083676496,-5674.645307779616
base_strats,all,31,-5797.323262436034,-5461.274420453273
base_strats,all,32,-5625.529767887211,-5623.107716741922
base_strats,all,33,-5508.509627696048,-5749.892260318878
base_strats,all,34,-5579.199040086411,-5659.103914570153
base_strats,all,35,-5722.596788114768,-5518.299565676654
base_strats,all,36,-5747.976267509709,-5495.633638297308
base_strats,all,37,-5573.08519341303,-5665.58081654629
base_strats,all,38,-5629.887782582584,-5623.058434717199
base_strats,all,39,-5613.98361030072,-5624.91600580202
base_strats,all,40,-5736.300490345715,-5506.313452403072
base_strats,all,41,-5550.065449179092,-5689.203055230228
base_strats,all,42,-5548.355501887856,-5706.340517947628
base_strats,all,43,-5626.012862005959,-5625.255024971754
base_strats,all,44,-5517.459395436472,-5722.902043866654
base_strats,all,45,-5613.740054747854,-5597.824520145856
base_strats,all,46,-5623.853876907891,-5628.365400609165
base_strats,all,47,-5600.119664467837,-5647.171810583254
base_strats,all,48,-5700.42346769405,-5551.744032481812
base_strats,all,49,-5538.470799118579,-5683.949880328823
no_phys,all,0,-6150.596015190036,-6204.82490244397
no_phys,all,1,-6326.811632757111,-6049.889930168894
no_phys,all,2,-6405.631795666789,-5960.224607633097
no_phys,all,3,-6324.154956005351,-6073.592478627518
no_phys,all,4,-5958.345235363526,-6406.311251210351
no_phys,all,5,-6087.120891912239,-6321.686159495568
no_phys,all,6,-6122.987578353184,-6234.421841077717
no_phys,all,7,-6136.6871786242455,-6228.954224227826
no_phys,all,8,-6248.880899730504,-6094.289996233727
no_phys,all,9,-6129.695225419796,-6231.659417519952
no_phys,all,10,-6203.292580483982,-6150.907125521896
no_phys,all,11,-6251.4036555311695,-6115.690407491808
no_phys,all,12,-6024.785593560889,-6348.160865449116
no_phys,all,13,-6292.83636487999,-6071.406436375413
no_phys,all,14,-6181.590272681412,-6161.353015667938
no_phys,all,15,-6291.268461181028,-6118.898882013762
no_phys,all,16,-6211.458881115126,-6155.750367788853
no_phys,all,17,-6305.889350698068,-6042.786391697726
no_phys,all,18,-6364.364704072268,-5995.196323266511
no_phys,all,19,-6320.827809169028,-6054.9184738441045
no_phys,all,20,-6115.240593341827,-6245.383989139509
